,Time,Open,High,Low,Close,Volume,CloseTime,QuoteAssetVolume,NumberOfTrades,TakerBaseVolume,TakerQuoteVolume,Ignore
81,1561944060000,0.0054099097649736045,0.005413234145622391,0.005397911594696935,0.005398544109599137,40.684917,1561944119999,448375.60285478,461,26.104192,287675.59253991,0
82,1561944120000,0.005398598044978395,0.005403344358353065,0.005397911594696935,0.005400544621847966,26.485411,1561944179999,291812.36852354,260,19.61683,216135.51942685,0
83,1561944180000,0.0054005004929013,0.005403344358353065,0.00539497947135184,0.005402795198127896,42.428346,1561944239999,467152.85649736,420,26.903452,296205.92175371,0
84,1561944240000,0.00540328551975751,0.00540704138344036,0.005400858427690919,0.005405565515335219,27.563179,1561944299999,303787.64838148,266,15.560503,171503.26121625,0
85,1561944300000,0.00540539880598115,0.005405952869422614,0.005398593141762099,0.005399196237366526,23.81409,1561944359999,262440.63744497,282,8.361851,92161.61027917,0
86,1561944360000,0.005398598044978395,0.005399348237071706,0.005384226718014391,0.005394655859076294,51.577531,1561944419999,567238.36492333,458,13.315396,146457.26623108,0
87,1561944420000,0.005394734310537033,0.005406482416782598,0.005391615864972683,0.0054055851282004035,28.029588,1561944479999,308729.75184404,282,17.092407,188285.90835554,0
88,1561944480000,0.0054055851282004035,0.005414401111100874,0.00540247158585235,0.00540606074018113,59.845663,1561944539999,659972.92773119,526,19.249675,212294.14344753,0
89,1561944540000,0.00540606074018113,0.005415161109626777,0.005404982032595978,0.005414964980974932,17.148107,1561944599999,189184.10164506,188,9.511011,104933.42257557,0
90,1561944600000,0.005414974787407523,0.005414974787407523,0.00540176061948941,0.00540471235569969,31.894369,1561944659999,351730.1044594,329,18.80906,207412.64898149,0
91,1561944660000,0.005403766034954534,0.005404962419730793,0.005398701012520614,0.005403471841976764,19.303476,1561944719999,212693.05406265,243,11.018174,121403.79591957,0
92,1561944720000,0.005403525777356023,0.0054156023990934304,0.005402760875613823,0.00541290563013055,18.952101,1561944779999,209068.95134731,293,8.819783,97309.00664649,0
93,1561944780000,0.005413886273389779,0.005421054775614745,0.005413082145917211,0.005420638002229573,33.445397,1561944839999,369505.04937555,271,14.47679,159949.79659249,0
94,1561944840000,0.005420530131471057,0.0054304934669848265,0.005419461230318497,0.005429650113781889,20.613794,1561944899999,228137.11800263,302,10.127139,112062.25066916,0
95,1561944900000,0.005429645210565592,0.005432763656129941,0.005416661493813398,0.005423648577035406,125.683246,1561944959999,1390951.34707586,485,19.849711,219756.48367634,0
96,1561944960000,0.0054236093513050365,0.005439628158944546,0.005422540450152477,0.005437598227397942,21.17236,1561945019999,234560.67466998,350,14.352908,158992.27300681,0
97,1561945020000,0.005437598227397942,0.005443570344846649,0.0054303414672796455,0.005433803137984725,33.743354,1561945079999,374305.70593403,412,18.537666,205652.50099486,0
98,1561945080000,0.005433607009332878,0.005446919241576916,0.005430204177223353,0.005437936549322376,35.336964,1561945139999,392006.83446419,376,22.294924,247336.0002433,0
99,1561945140000,0.005437921839673488,0.005440898091965248,0.005426428700675321,0.005426428700675321,32.296014,1561945199999,358094.07463101,220,9.723627,107818.30669215,0
100,1561945200000,0.0054275368275582495,0.0054275368275582495,0.005398450948489511,0.005410164732221004,80.229059,1561945259999,885700.14328079,724,28.174337,310868.46497494,0
101,1561945260000,0.005410164732221004,0.005412430018149824,0.005396979983600668,0.005398823592928018,47.539171,1561945319999,523675.94153537,401,21.918745,241475.9339231,0
