1629374040000,2.07530000,2.07610000,2.06760000,2.07100000,759323.62000000,1629374219999,1573070.66245700,2559,277692.76000000,575540.77607300,0
1629374220000,2.07100000,2.07250000,2.05510000,2.05900000,2539141.87000000,1629374399999,5240964.44440000,6120,857985.30000000,1770364.94298400,0
1629374400000,2.05920000,2.07360000,2.05310000,2.06170000,1397670.85000000,1629374579999,2882911.58111400,5196,614916.29000000,1269292.59606300,0
1629374580000,2.06180000,2.06520000,2.05000000,2.05660000,2187421.66000000,1629374759999,4498028.09370800,5494,723226.11000000,1487219.45526600,0
1629374760000,2.05640000,2.06300000,2.04800000,2.04930000,1820817.69000000,1629374939999,3735369.43264200,5004,587761.94000000,1206461.59740600,0
1629374940000,2.04920000,2.05690000,2.04620000,2.05590000,1392103.38000000,1629375119999,2855919.80434800,4739,733016.21000000,1504442.22212000,0
1629375120000,2.05590000,2.06450000,2.05340000,2.06290000,673162.14000000,1629375299999,1386528.21403500,2943,404337.65000000,832760.67660900,0
1629375300000,2.06280000,2.07310000,2.05890000,2.06420000,675883.75000000,1629375479999,1396987.17006800,3664,332575.88000000,687701.65220100,0
1629375480000,2.06330000,2.07410000,2.06250000,2.07310000,576476.14000000,1629375659999,1192502.27770000,3251,387635.87000000,801926.80519200,0
1629375660000,2.07310000,2.07980000,2.07000000,2.07770000,642575.02000000,1629375839999,1333360.04599900,3349,343173.34000000,712223.50751600,0
1629375840000,2.07770000,2.08060000,2.07040000,2.07820000,659768.60000000,1629376019999,1369938.19777800,2876,305282.75000000,633887.97081200,0
1629376020000,2.07820000,2.08340000,2.07700000,2.07750000,443610.15000000,1629376199999,922885.20268400,2866,220809.54000000,459372.26451200,0
1629376200000,2.07750000,2.08230000,2.07270000,2.07350000,622279.86000000,1629376379999,1293539.44511900,2956,330507.48000000,687083.52784900,0
1629376380000,2.07350000,2.07630000,2.06890000,2.07570000,486675.61000000,1629376559999,1008100.99739100,2791,253145.63000000,524452.71806300,0
1629376560000,2.07580000,2.07940000,2.06980000,2.07120000,386790.87000000,1629376739999,801583.45187500,2110,104214.10000000,216068.44090300,0
1629376740000,2.07130000,2.08120000,2.07130000,2.08120000,285438.83000000,1629376919999,592581.50465900,3175,185295.87000000,384693.04073400,0
1629376920000,2.08120000,2.09200000,2.07950000,2.08500000,699552.09000000,1629377099999,1460022.58631200,3442,429725.29000000,897157.99518100,0
1629377100000,2.08500000,2.08980000,2.08350000,2.08530000,548775.45000000,1629377279999,1145255.44375300,2779,228089.14000000,476047.01464400,0
1629377280000,2.08530000,2.08630000,2.07510000,2.07690000,498396.92000000,1629377459999,1037146.81564600,3143,191681.69000000,398802.47039300,0
1629377460000,2.07700000,2.08280000,2.07420000,2.07850000,395117.42000000,1629377639999,820962.66948100,2581,169351.01000000,351962.34872800,0
1629377640000,2.07850000,2.09000000,2.07650000,2.08680000,399218.01000000,1629377819999,832476.72586100,2460,231830.81000000,483354.64223300,0
1629377820000,2.08650000,2.09000000,2.08350000,2.08670000,455042.73000000,1629377999999,950050.14745400,2055,220786.17000000,461027.59502200,0
